,House member,political_party,number_of_terms,gender,university,age,ethnicity,religion,leadership_role ,previous_experience,veteran_status,rural_urban ,field_study,school_status,state,kids,degree_status,voting_privilege,,,,
HM223,Wesley Bell,2,0,1,1,49,1,0,0,1,1,2,1,0,Missouri,1,3,1,,,,
HM224,Ann Wagner,1,6,0,1,62,0,0,0,1,1,1,2,1,Missouri,3,1,1,,,,
HM225,Robert Odner,1,0,1,1,51,0,0,0,2,1,1,4,0,Missouri,3,3,1,,,,
HM226,Mark Alford,1,2,1,1,60,0,0,0,1,1,1,4,0,Missouri,2,1,1,,,,
HM227,Emanuel Cleaver,2,10,1,1,80,1,0,1,1,0,2,2,0,Missouri,2,3,1,,,,
HM228,Sam Graves,1,13,1,1,62,0,0,1,1,0,0,2,0,Missouri,3,1,1,,,,
HM229,Eric Burlison,1,1,1,1,48,0,0,0,1,1,1,2,0,Missouri,2,1,1,,,,
HM230,Jason Smith,1,6,1,1,45,0,0,1,1,0,0,2,0,Missouri,0,1,1,,,,
HM231,Ryan Zinke,1,3,1,1,63,0,0,0,1,0,0,4,0,Montana,2,3,1,,,,
HM232,Troy Downing ,1,0,1,1,56,0,0,0,2,0,0,4,0,Montana,2,1,1,,,,
HM233,Mike Flood,1,2,1,1,49,0,0,0,1,1,0,1,0,Nebraska,2,3,1,,,,
HM234,Don Bacon,1,5,1,1,62,0,0,0,1,0,0,4,0,Nebraska,3,3,1,,,,
HM235,Adrian Smith,1,9,1,1,54,0,0,0,1,0,0,2,0,Nebraska,3,3,1,,,,
HM236,Dina Titus,2,7,0,1,74,0,0,0,1,1,2,2,0,Nevada,0,3,1,,,,
